ax,ay,az,gx,gy,gz,label
-0.027084,-0.0458,-0.684664,0.1572805,0.06455,0.01089062,1
0.07910156,0.01513672,0.9597168,-2.80916,-1.519084,-0.4198473,0
-1.431792,-1.1397,0.729133,-0.2222623,0.01217,0.15113904,1
0.566934,0.02654,0.372405,0.00027092,0.01518,-0.0001261,1
0.119873,-0.3623047,0.1982422,45.29008,-12.34351,-136.0534,10
0.263916,-0.2077637,0.3879395,42.82443,250.1298,22.54962,10
0.08007813,0.015625,0.9555664,-2.839695,-1.625954,-0.1908397,0
0.003111,0.01409,-0.719068,0.02492854,-0.0187,-0.68220958,1
0.001342,-0.0204,-0.195566,-0.07209644,0.07398,-0.22388574,1
-0.2805176,0.2619629,0.2912598,-79.75572,-34.92366,25.93893,10
0.8601074,0.3007813,0.6904297,-41.25191,-54.34351,-8.267176,10
0.9851074,-0.168457,0.001708984,249.7939,127.7099,250.1298,10
0.11956,0.07631,0.478728,-0.00429494,0.01029,0.13313898,1
0.17019,-0.157014,-0.549976,-0.00867542,-0.0706846,-0.03333382,1
-0.013176,-0.113399,-0.05063,0.0588588,-0.0315461,0.36212566,1
0.07885742,0.01757813,0.963623,-3.007634,-1.664122,-0.259542,0
-1.42627,0.1098633,0.9821777,250.1298,235.4122,188.9771,10
0.08398438,0.01928711,0.9699707,-2.969466,-1.740458,-0.2824428,0
0.016836,0.112179,-0.055205,0.18983978,0.0638443,-1.60039048,1
0.08154297,0.02368164,0.9584961,-2.801527,-1.557252,-0.4274809,0
1.248779,0.006835938,1.100586,-41.96183,-1.839695,233.9695,10
0.005124,0.068381,-0.67039,0.0394199,-0.0878623,-0.02576392,1
0.02867,-0.003233,0.099308,0.02255604,-0.1845493,-0.05810766,1
0.078125,0.01708984,0.9650879,-2.946565,-1.549618,-0.4274809,0
0.08105469,0.02392578,0.9643555,-3.0,-1.442748,-0.3129771,0
-0.3798828,0.2128906,1.999939,-190.6183,-197.2366,-30.19847,10
-0.044713,-0.0463,0.069235,0.00057226,0.01914,-0.00034268,1
-0.3146973,0.7045898,1.321289,158.0382,-38.78626,-176.229,10
1.061035,-0.229248,1.445313,250.1298,3.251908,11.12977,10
0.09765625,0.4699707,1.142578,-157.8321,-248.1832,34.77863,10
0.2883301,0.208252,1.904297,-56.62595,-5.877862,121.3359,10
-0.039467,-0.0874,-0.287371,-0.03597516,-0.0294,-0.36534056,1
0.08105469,0.02001953,0.9526367,-2.656489,-1.610687,-0.2671756,0
0.08105469,0.01293945,0.9614258,-2.877863,-1.641221,-0.2290076,0
0.07714844,0.01977539,0.9609375,-2.885496,-1.51145,-0.2290076,0
0.115168,0.002257,-0.737063,-0.08608262,0.2023918,0.11714976,1
0.07641602,0.01953125,0.9597168,-2.763359,-1.465649,-0.2213741,0
0.08032227,0.02612305,0.9702148,-2.908397,-1.717557,-0.3358779,0
0.1264648,0.4616699,1.680908,68.61832,25.48092,-220.771,10
0.07080078,0.01660156,0.9599609,-2.885496,-1.618321,-0.3358779,0
0.08227539,0.02685547,0.963623,-2.946565,-1.587786,-0.1679389,0
0.3032227,0.3476563,1.206299,-173.1908,-148.2137,166.4275,10
0.07861328,0.02856445,0.9667969,-2.832061,-1.496183,-0.2366412,0
0.021045,0.111264,-0.482632,-0.00010218,-0.0146877,0.00020046,1
-0.2868652,0.4162598,1.999939,-40.56488,15.54198,-39.9313,10
-0.02562,0.0229,-0.107177,0.00056368,-0.0025,-0.00017108,1
0.012749,0.06314,0.344955,-0.0173914,-0.0314,0.1650155,1
-0.2827148,0.5290527,1.410645,139.7176,41.0,65.32825,10
0.7438965,0.3840332,0.6743164,-25.61069,-78.94656,139.4275,10
-0.016775,0.03392,0.056791,0.00036166,0.03402,-0.00019214,1
0.08325195,0.02490234,0.9633789,-2.78626,-1.587786,-0.2137404,0
1.045898,0.3183594,-0.4094238,126.0458,95.96947,17.0458,10
0.101992,0.060024,-0.434381,0.14085864,0.10675808,0.35544704,1
0.08154297,0.02416992,0.9558105,-3.022901,-1.51145,-0.5572519,0
0.1472168,-0.046875,0.03051758,250.1298,-1.229008,-4.641222,10
0.066429,0.073627,-0.320372,-0.05568784,0.0491478,0.00515736,1
0.8879395,0.3085938,0.9033203,-91.0,-55.17557,250.1298,10
-0.013176,-0.113399,-0.05063,0.0588588,-0.0315461,0.36212566,1
0.034709,0.1077,0.805627,0.00012948,-0.0029,-0.00011336,1
0.030561,-0.034038,-0.02318,0.00015054,-0.0054577,-0.00021476,1
0.006039,-0.013115,-0.246013,5.85e-05,-0.0023759,-0.00021528,1
0.07666016,0.02075195,0.9536133,-2.80916,-1.503817,-0.3969466,0
0.08349609,0.01879883,0.9631348,-2.801527,-1.641221,-0.3053435,0
0.02368164,-0.2102051,1.50708,-43.27481,33.68702,3.923664,10
0.08569336,0.01904297,0.9567871,-2.923664,-1.641221,-0.1068702,0
-0.1130371,-0.3850098,0.9882813,34.48092,-14.80153,-246.771,10
0.810791,0.03930664,1.772217,-57.99237,-6.053435,57.63359,10
0.08007813,0.02050781,0.9624023,-2.778626,-1.473282,-0.1603053,0
0.08007813,0.01806641,0.954834,-2.832061,-1.580153,-0.4351145,0
-0.008601,0.02373,0.17568,-0.05077878,0.00351,-0.3773393,1
0.07861328,0.02270508,0.9594727,-2.977099,-1.526718,-0.3587786,0
-0.1086426,0.01757813,1.054932,4.458015,-15.00763,-8.183207,10
0.1933594,-0.08374023,0.02807617,-93.29771,96.16794,-40.54198,10
0.08154297,0.02368164,0.9584961,-2.801527,-1.557252,-0.4274809,0
0.07739258,0.01928711,0.956543,-2.984733,-1.503817,-0.1908397,0
0.1933594,-0.08374023,0.02807617,-93.29771,96.16794,-40.54198,10
-0.2900391,0.3596191,0.6962891,18.94657,36.27481,-248.1832,10
0.07788086,0.02124023,0.9619141,-2.908397,-1.641221,-0.3587786,0
0.02368164,-0.2102051,1.50708,-43.27481,33.68702,3.923664,10
0.3574219,0.1179199,0.4919434,77.9313,-68.35878,68.43511,10
0.120414,-0.072651,-0.774822,-0.02165696,0.01073306,0.08026408,1
-0.041419,0.035929,-0.165676,0.00044148,4.42e-05,-0.00020722,1
0.1425781,0.2434082,0.5439453,183.0992,125.5649,-248.1832,10
0.07080078,0.01660156,0.9599609,-2.885496,-1.618321,-0.3358779,0
-0.1965332,0.3029785,1.633057,-103.1374,-28.45802,43.32061,10
0.012993,0.10724,0.208498,0.12144548,0.24917,0.38344774,1
-0.4919434,0.4462891,0.5134277,-248.1832,-59.19847,-72.38168,10
-0.526552,0.82716,-0.732,-0.02081118,-0.1863334,0.15623998,1
-1.42627,0.1098633,0.9821777,250.1298,235.4122,188.9771,10
0.08349609,0.01953125,0.9680176,-2.923664,-1.503817,-0.4427481,0
0.07104492,0.02124023,0.9672852,-2.80916,-1.618321,-0.2442748,0
-0.023912,-0.183366,0.05795,0.01178034,0.00619138,-1.01702406,1
1.025879,0.3222656,1.931396,23.27481,80.13741,-248.1832,10
